Report Date,As of Date,State,Confirmed Cases,Source
,#date,#adm1+name,#affected+infected+confirmed+fatalities,#source+url
,12/05/2020,South Darfur,51,
,12/05/2020,South Kordofan,22,
,12/05/2020,West Darfur,39,
,12/05/2020,West Kordofan,77,
,12/05/2020,White Nile,219,
,11/30/2020,Abyei PCA,,https://app.powerbi.com/view?r=eyJrIjoiNTJmYTlkZTgtOTgyOC00ZWY1LTlmZDAtNzQ1OTIxNDhjZDIzIiwidCI6IjBmOWUzNWRiLTU0NGYtNGY2MC1iZGNjLTVlYTQxNmU2ZGM3MCIsImMiOjh9
,11/30/2020,El Gazira,"1,441",
,11/30/2020,Blue Nile,35,
,11/30/2020,Central Darfur,6,
,11/30/2020,East Darfur,21,
,11/30/2020,Gedaref,299,
,11/30/2020,Kassala,248,
,11/30/2020,Khartoum,"13,796",
,11/30/2020,North Darfur,152,
,11/30/2020,North Kordofan,215,
,11/30/2020,Northern,405,
,11/30/2020,Red Sea,473,
,11/30/2020,River Nile,497,
,11/30/2020,Sennar,275,
,11/30/2020,South Darfur,48,
,11/30/2020,South Kordofan,20,
,11/30/2020,West Darfur,38,
,11/30/2020,West Kordofan,71,
,11/30/2020,White Nile,214,
,11/28/2020,Abyei PCA,,https://app.powerbi.com/view?r=eyJrIjoiNTJmYTlkZTgtOTgyOC00ZWY1LTlmZDAtNzQ1OTIxNDhjZDIzIiwidCI6IjBmOWUzNWRiLTU0NGYtNGY2MC1iZGNjLTVlYTQxNmU2ZGM3MCIsImMiOjh9
,11/28/2020,El Gazira,"1,429",
,11/28/2020,Blue Nile,35,
,11/28/2020,Central Darfur,6,
,11/28/2020,East Darfur,21,
,11/28/2020,Gedaref,294,
,11/28/2020,Kassala,245,
,11/28/2020,Khartoum,"13,389",
,11/28/2020,North Darfur,152,
,11/28/2020,North Kordofan,215,
,11/28/2020,Northern,405,
,11/28/2020,Red Sea,473,
,11/28/2020,River Nile,486,
,11/28/2020,Sennar,273,
,11/28/2020,South Darfur,46,
,11/28/2020,South Kordofan,20,
,11/28/2020,West Darfur,38,
,11/28/2020,West Kordofan,70,
,11/28/2020,White Nile,213,
,11/26/2020,Abyei PCA,,https://app.powerbi.com/view?r=eyJrIjoiNTJmYTlkZTgtOTgyOC00ZWY1LTlmZDAtNzQ1OTIxNDhjZDIzIiwidCI6IjBmOWUzNWRiLTU0NGYtNGY2MC1iZGNjLTVlYTQxNmU2ZGM3MCIsImMiOjh9
,11/26/2020,El Gazira,"1,422",
,11/26/2020,Blue Nile,35,
,11/26/2020,Central Darfur,6,
,11/26/2020,East Darfur,21,
,11/26/2020,Gedaref,294,
,11/26/2020,Kassala,244,
,11/26/2020,Khartoum,"13,011",
,11/26/2020,North Darfur,151,
,11/26/2020,North Kordofan,213,
,11/26/2020,Northern,405,
,11/26/2020,Red Sea,469,
,11/26/2020,River Nile,479,
,11/26/2020,Sennar,268,
,11/26/2020,South Darfur,45,
,11/26/2020,South Kordofan,20,
,11/26/2020,West Darfur,38,
,11/26/2020,West Kordofan,70,
,11/26/2020,White Nile,213,
