Report Date,As of Date,State,Confirmed Cases,Source
,#date,#adm1+name,#affected+infected+confirmed+fatalities,#source+url
10/07/2020,10/07/2020,North Kordofan,203,https://reliefweb.int/sites/reliefweb.int/files/resources/sudan_covid-19_situation_overview_response_a4_7_oct_2020.pdf
10/07/2020,10/07/2020,Northern,384,https://reliefweb.int/sites/reliefweb.int/files/resources/sudan_covid-19_situation_overview_response_a4_7_oct_2020.pdf
10/07/2020,10/07/2020,Red Sea,391,https://reliefweb.int/sites/reliefweb.int/files/resources/sudan_covid-19_situation_overview_response_a4_7_oct_2020.pdf
10/07/2020,10/07/2020,River Nile,438,https://reliefweb.int/sites/reliefweb.int/files/resources/sudan_covid-19_situation_overview_response_a4_7_oct_2020.pdf
10/07/2020,10/07/2020,Sennar,242,https://reliefweb.int/sites/reliefweb.int/files/resources/sudan_covid-19_situation_overview_response_a4_7_oct_2020.pdf
10/07/2020,10/07/2020,South Darfur,39,https://reliefweb.int/sites/reliefweb.int/files/resources/sudan_covid-19_situation_overview_response_a4_7_oct_2020.pdf
10/07/2020,10/07/2020,South Kordofan,15,https://reliefweb.int/sites/reliefweb.int/files/resources/sudan_covid-19_situation_overview_response_a4_7_oct_2020.pdf
10/07/2020,10/07/2020,West Darfur,34,https://reliefweb.int/sites/reliefweb.int/files/resources/sudan_covid-19_situation_overview_response_a4_7_oct_2020.pdf
10/07/2020,10/07/2020,West Kordofan,69,https://reliefweb.int/sites/reliefweb.int/files/resources/sudan_covid-19_situation_overview_response_a4_7_oct_2020.pdf
10/07/2020,10/07/2020,White Nile,191,https://reliefweb.int/sites/reliefweb.int/files/resources/sudan_covid-19_situation_overview_response_a4_7_oct_2020.pdf
10/01/2020,09/30/2020,Abyei PCA,,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%201%20Oct%202020%20%281%29.pdf
10/01/2020,09/30/2020,Al Jazirah,"1,135",https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%201%20Oct%202020%20%281%29.pdf
10/01/2020,09/30/2020,Blue Nile,30,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%201%20Oct%202020%20%281%29.pdf
10/01/2020,09/30/2020,Central Darfur,6,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%201%20Oct%202020%20%281%29.pdf
10/01/2020,09/30/2020,East Darfur,21,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%201%20Oct%202020%20%281%29.pdf
10/01/2020,09/30/2020,Gedaref,274,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%201%20Oct%202020%20%281%29.pdf
10/01/2020,09/30/2020,Kassala,227,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%201%20Oct%202020%20%281%29.pdf
10/01/2020,09/30/2020,Khartoum,"9,810",https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%201%20Oct%202020%20%281%29.pdf
10/01/2020,09/30/2020,North Darfur,146,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%201%20Oct%202020%20%281%29.pdf
10/01/2020,09/30/2020,North Kordofan,203,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%201%20Oct%202020%20%281%29.pdf
10/01/2020,09/30/2020,Northern,384,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%201%20Oct%202020%20%281%29.pdf
10/01/2020,09/30/2020,Red Sea,39,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%201%20Oct%202020%20%281%29.pdf
10/01/2020,09/30/2020,River Nile,438,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%201%20Oct%202020%20%281%29.pdf
10/01/2020,09/30/2020,Sennar,241,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%201%20Oct%202020%20%281%29.pdf
10/01/2020,09/30/2020,South Darfur,39,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%201%20Oct%202020%20%281%29.pdf
10/01/2020,09/30/2020,South Kordofan,15,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%201%20Oct%202020%20%281%29.pdf
10/01/2020,09/30/2020,West Darfur,34,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%201%20Oct%202020%20%281%29.pdf
10/01/2020,09/30/2020,West Kordofan,69,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%201%20Oct%202020%20%281%29.pdf
10/01/2020,09/30/2020,White Nile,190,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%201%20Oct%202020%20%281%29.pdf
09/27/2020,09/25/2020,Abyei PCA,,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2027%20Sep%202020.pdf
09/27/2020,09/25/2020,Al Jazirah,"1,134",https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2027%20Sep%202020.pdf
09/27/2020,09/25/2020,Blue Nile,30,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2027%20Sep%202020.pdf
09/27/2020,09/25/2020,Central Darfur,6,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2027%20Sep%202020.pdf
09/27/2020,09/25/2020,East Darfur,21,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2027%20Sep%202020.pdf
09/27/2020,09/25/2020,Gedaref,274,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2027%20Sep%202020.pdf
09/27/2020,09/25/2020,Kassala,226,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2027%20Sep%202020.pdf
09/27/2020,09/25/2020,Khartoum,"9,791",https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2027%20Sep%202020.pdf
09/27/2020,09/25/2020,North Darfur,146,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2027%20Sep%202020.pdf
09/27/2020,09/25/2020,North Kordofan,202,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2027%20Sep%202020.pdf
09/27/2020,09/25/2020,Northern,384,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2027%20Sep%202020.pdf
09/27/2020,09/25/2020,Red Sea,367,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2027%20Sep%202020.pdf
09/27/2020,09/25/2020,River Nile,438,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2027%20Sep%202020.pdf
09/27/2020,09/25/2020,Sennar,241,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2027%20Sep%202020.pdf
09/27/2020,09/25/2020,South Darfur,39,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2027%20Sep%202020.pdf
09/27/2020,09/25/2020,South Kordofan,14,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2027%20Sep%202020.pdf
09/27/2020,09/25/2020,West Darfur,34,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2027%20Sep%202020.pdf
09/27/2020,09/25/2020,West Kordofan,69,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2027%20Sep%202020.pdf
09/27/2020,09/25/2020,White Nile,190,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2027%20Sep%202020.pdf
09/10/2020,09/05/2020,Abyei PCA,,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2010%20Sep%202020.pdf
09/10/2020,09/05/2020,Al Jazirah,"1,122",https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2010%20Sep%202020.pdf
09/10/2020,09/05/2020,Blue Nile,29,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2010%20Sep%202020.pdf
09/10/2020,09/05/2020,Central Darfur,6,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2010%20Sep%202020.pdf
09/10/2020,09/05/2020,East Darfur,21,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2010%20Sep%202020.pdf
09/10/2020,09/05/2020,Gedaref,270,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2010%20Sep%202020.pdf
09/10/2020,09/05/2020,Kassala,225,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2010%20Sep%202020.pdf
09/10/2020,09/05/2020,Khartoum,"9,655",https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2010%20Sep%202020.pdf
09/10/2020,09/05/2020,North Darfur,145,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2010%20Sep%202020.pdf
09/10/2020,09/05/2020,North Kordofan,200,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2010%20Sep%202020.pdf
09/10/2020,09/05/2020,Northern,377,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2010%20Sep%202020.pdf
09/10/2020,09/05/2020,Red Sea,367,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2010%20Sep%202020.pdf
09/10/2020,09/05/2020,River Nile,437,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2010%20Sep%202020.pdf
09/10/2020,09/05/2020,Sennar,238,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2010%20Sep%202020.pdf
09/10/2020,09/05/2020,South Darfur,38,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2010%20Sep%202020.pdf
09/10/2020,09/05/2020,South Kordofan,14,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2010%20Sep%202020.pdf
09/10/2020,09/05/2020,West Darfur,34,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2010%20Sep%202020.pdf
09/10/2020,09/05/2020,West Kordofan,69,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2010%20Sep%202020.pdf
09/10/2020,09/05/2020,White Nile,190,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2010%20Sep%202020.pdf
08/27/2020,08/25/2020,Abyei PCA,,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2027%20Aug%202020%20%282%29.pdf
08/27/2020,08/25/2020,Al Jazirah,"1,115",https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2027%20Aug%202020%20%282%29.pdf
08/27/2020,08/25/2020,Blue Nile,29,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2027%20Aug%202020%20%282%29.pdf
08/27/2020,08/25/2020,Central Darfur,6,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2027%20Aug%202020%20%282%29.pdf
08/27/2020,08/25/2020,East Darfur,21,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2027%20Aug%202020%20%282%29.pdf
08/27/2020,08/25/2020,Gedaref,265,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2027%20Aug%202020%20%282%29.pdf
08/27/2020,08/25/2020,Kassala,225,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2027%20Aug%202020%20%282%29.pdf
08/27/2020,08/25/2020,Khartoum,"9,313",https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2027%20Aug%202020%20%282%29.pdf
08/27/2020,08/25/2020,North Darfur,145,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2027%20Aug%202020%20%282%29.pdf
08/27/2020,08/25/2020,North Kordofan,195,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2027%20Aug%202020%20%282%29.pdf
08/27/2020,08/25/2020,Northern,372,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2027%20Aug%202020%20%282%29.pdf
08/27/2020,08/25/2020,Red Sea,346,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2027%20Aug%202020%20%282%29.pdf
08/27/2020,08/25/2020,River Nile,431,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2027%20Aug%202020%20%282%29.pdf
08/27/2020,08/25/2020,Sennar,238,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2027%20Aug%202020%20%282%29.pdf
08/27/2020,08/25/2020,South Darfur,38,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2027%20Aug%202020%20%282%29.pdf
08/27/2020,08/25/2020,South Kordofan,14,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2027%20Aug%202020%20%282%29.pdf
08/27/2020,08/25/2020,West Darfur,33,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2027%20Aug%202020%20%282%29.pdf
08/27/2020,08/25/2020,West Kordofan,69,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2027%20Aug%202020%20%282%29.pdf
08/27/2020,08/25/2020,White Nile,190,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2027%20Aug%202020%20%282%29.pdf
08/20/2020,08/17/2020,Abyei PCA,,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2020%20Aug%202020.pdf
08/20/2020,08/17/2020,Al Jazirah,"1,113",https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2020%20Aug%202020.pdf
08/20/2020,08/17/2020,Blue Nile,29,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2020%20Aug%202020.pdf
08/20/2020,08/17/2020,Central Darfur,6,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2020%20Aug%202020.pdf
08/20/2020,08/17/2020,East Darfur,21,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2020%20Aug%202020.pdf
08/20/2020,08/17/2020,Gedaref,265,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2020%20Aug%202020.pdf
08/20/2020,08/17/2020,Kassala,225,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2020%20Aug%202020.pdf
08/20/2020,08/17/2020,Khartoum,"8,895",https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2020%20Aug%202020.pdf
08/20/2020,08/17/2020,North Darfur,145,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2020%20Aug%202020.pdf
08/20/2020,08/17/2020,North Kordofan,195,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2020%20Aug%202020.pdf
08/20/2020,08/17/2020,Northern,356,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2020%20Aug%202020.pdf
08/20/2020,08/17/2020,Red Sea,339,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2020%20Aug%202020.pdf
08/20/2020,08/17/2020,River Nile,428,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2020%20Aug%202020.pdf
08/20/2020,08/17/2020,Sennar,198,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2020%20Aug%202020.pdf
08/20/2020,08/17/2020,South Darfur,38,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2020%20Aug%202020.pdf
08/20/2020,08/17/2020,South Kordofan,14,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2020%20Aug%202020.pdf
08/20/2020,08/17/2020,West Darfur,33,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2020%20Aug%202020.pdf
08/20/2020,08/17/2020,West Kordofan,69,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2020%20Aug%202020.pdf
08/20/2020,08/17/2020,White Nile,177,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2020%20Aug%202020.pdf
08/13/2020,08/11/2020,Abyei PCA,,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2013%20Aug%202020%20%281%29.pdf
08/13/2020,08/11/2020,Al Jazirah,"1,104",https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2013%20Aug%202020%20%281%29.pdf
08/13/2020,08/11/2020,Blue Nile,29,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2013%20Aug%202020%20%281%29.pdf
08/13/2020,08/11/2020,Central Darfur,6,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2013%20Aug%202020%20%281%29.pdf
08/13/2020,08/11/2020,East Darfur,21,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2013%20Aug%202020%20%281%29.pdf
08/13/2020,08/11/2020,Gedaref,264,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2013%20Aug%202020%20%281%29.pdf
08/13/2020,08/11/2020,Kassala,217,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2013%20Aug%202020%20%281%29.pdf
08/13/2020,08/11/2020,Khartoum,"8,604",https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2013%20Aug%202020%20%281%29.pdf
08/13/2020,08/11/2020,North Darfur,145,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2013%20Aug%202020%20%281%29.pdf
08/13/2020,08/11/2020,North Kordofan,194,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2013%20Aug%202020%20%281%29.pdf
08/13/2020,08/11/2020,Northern,324,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2013%20Aug%202020%20%281%29.pdf
08/13/2020,08/11/2020,Red Sea,310,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2013%20Aug%202020%20%281%29.pdf
08/13/2020,08/11/2020,River Nile,368,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2013%20Aug%202020%20%281%29.pdf
08/13/2020,08/11/2020,Sennar,198,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2013%20Aug%202020%20%281%29.pdf
08/13/2020,08/11/2020,South Darfur,38,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2013%20Aug%202020%20%281%29.pdf
08/13/2020,08/11/2020,South Kordofan,14,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2013%20Aug%202020%20%281%29.pdf
08/13/2020,08/11/2020,West Darfur,33,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2013%20Aug%202020%20%281%29.pdf
08/13/2020,08/11/2020,West Kordofan,69,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2013%20Aug%202020%20%281%29.pdf
08/13/2020,08/11/2020,White Nile,177,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2013%20Aug%202020%20%281%29.pdf
08/06/2020,08/03/2020,Abyei PCA,,https://reliefweb.int/sites/reliefweb.int/files/resources/Sudan%20Situation%20Report%2C%206%20Aug%202020.pdf
08/06/2020,08/03/2020,Al Jazirah,"1,097",https://reliefweb.int/sites/reliefweb.int/files/resources/Sudan%20Situation%20Report%2C%206%20Aug%202020.pdf
08/06/2020,08/03/2020,Blue Nile,29,https://reliefweb.int/sites/reliefweb.int/files/resources/Sudan%20Situation%20Report%2C%206%20Aug%202020.pdf
08/06/2020,08/03/2020,Central Darfur,6,https://reliefweb.int/sites/reliefweb.int/files/resources/Sudan%20Situation%20Report%2C%206%20Aug%202020.pdf
08/06/2020,08/03/2020,East Darfur,21,https://reliefweb.int/sites/reliefweb.int/files/resources/Sudan%20Situation%20Report%2C%206%20Aug%202020.pdf
08/06/2020,08/03/2020,Gedaref,262,https://reliefweb.int/sites/reliefweb.int/files/resources/Sudan%20Situation%20Report%2C%206%20Aug%202020.pdf
08/06/2020,08/03/2020,Kassala,213,https://reliefweb.int/sites/reliefweb.int/files/resources/Sudan%20Situation%20Report%2C%206%20Aug%202020.pdf
08/06/2020,08/03/2020,Khartoum,"8,393",https://reliefweb.int/sites/reliefweb.int/files/resources/Sudan%20Situation%20Report%2C%206%20Aug%202020.pdf
08/06/2020,08/03/2020,North Darfur,144,https://reliefweb.int/sites/reliefweb.int/files/resources/Sudan%20Situation%20Report%2C%206%20Aug%202020.pdf
08/06/2020,08/03/2020,North Kordofan,194,https://reliefweb.int/sites/reliefweb.int/files/resources/Sudan%20Situation%20Report%2C%206%20Aug%202020.pdf
08/06/2020,08/03/2020,Northern,246,https://reliefweb.int/sites/reliefweb.int/files/resources/Sudan%20Situation%20Report%2C%206%20Aug%202020.pdf
08/06/2020,08/03/2020,Red Sea,283,https://reliefweb.int/sites/reliefweb.int/files/resources/Sudan%20Situation%20Report%2C%206%20Aug%202020.pdf
08/06/2020,08/03/2020,River Nile,363,https://reliefweb.int/sites/reliefweb.int/files/resources/Sudan%20Situation%20Report%2C%206%20Aug%202020.pdf
08/06/2020,08/03/2020,Sennar,198,https://reliefweb.int/sites/reliefweb.int/files/resources/Sudan%20Situation%20Report%2C%206%20Aug%202020.pdf
08/06/2020,08/03/2020,South Darfur,38,https://reliefweb.int/sites/reliefweb.int/files/resources/Sudan%20Situation%20Report%2C%206%20Aug%202020.pdf
08/06/2020,08/03/2020,South Kordofan,14,https://reliefweb.int/sites/reliefweb.int/files/resources/Sudan%20Situation%20Report%2C%206%20Aug%202020.pdf
08/06/2020,08/03/2020,West Darfur,33,https://reliefweb.int/sites/reliefweb.int/files/resources/Sudan%20Situation%20Report%2C%206%20Aug%202020.pdf
08/06/2020,08/03/2020,West Kordofan,69,https://reliefweb.int/sites/reliefweb.int/files/resources/Sudan%20Situation%20Report%2C%206%20Aug%202020.pdf
08/06/2020,08/03/2020,White Nile,177,https://reliefweb.int/sites/reliefweb.int/files/resources/Sudan%20Situation%20Report%2C%206%20Aug%202020.pdf
07/23/2020,07/22/2020,Abyei PCA,,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2016%20Jul%202020%20%283%29.pdf
07/23/2020,07/22/2020,Al Jazirah,"1,072",https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2016%20Jul%202020%20%283%29.pdf
07/23/2020,07/22/2020,Blue Nile,29,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2016%20Jul%202020%20%283%29.pdf
07/23/2020,07/22/2020,Central Darfur,6,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2016%20Jul%202020%20%283%29.pdf
07/23/2020,07/22/2020,East Darfur,21,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2016%20Jul%202020%20%283%29.pdf
07/23/2020,07/22/2020,Gedaref,261,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2016%20Jul%202020%20%283%29.pdf
07/23/2020,07/22/2020,Kassala,187,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2016%20Jul%202020%20%283%29.pdf
07/23/2020,07/22/2020,Khartoum,"8,049",https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2016%20Jul%202020%20%283%29.pdf
07/23/2020,07/22/2020,North Darfur,144,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2016%20Jul%202020%20%283%29.pdf
07/23/2020,07/22/2020,North Kordofan,194,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2016%20Jul%202020%20%283%29.pdf
07/23/2020,07/22/2020,Northern,192,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2016%20Jul%202020%20%283%29.pdf
07/23/2020,07/22/2020,Red Sea,248,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2016%20Jul%202020%20%283%29.pdf
07/23/2020,07/22/2020,River Nile,319,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2016%20Jul%202020%20%283%29.pdf
07/23/2020,07/22/2020,Sennar,197,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2016%20Jul%202020%20%283%29.pdf
07/23/2020,07/22/2020,South Darfur,38,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2016%20Jul%202020%20%283%29.pdf
07/23/2020,07/22/2020,South Kordofan,14,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2016%20Jul%202020%20%283%29.pdf
07/23/2020,07/22/2020,West Darfur,33,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2016%20Jul%202020%20%283%29.pdf
07/23/2020,07/22/2020,West Kordofan,68,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2016%20Jul%202020%20%283%29.pdf
07/23/2020,07/22/2020,White Nile,165,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2016%20Jul%202020%20%283%29.pdf
07/16/2020,07/11/2020,Abyei PCA,,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2016%20Jul%202020%20%281%29.pdf
