admin2,date,elderly_shielding,home,mobility_reduction,other_locations,r0_reduction,school,work
1000,2020-04-30,1.0,1.05,0.7,0.85,0.7749999999999999,0.05,1.0
1000,2020-05-01,1.0,1.05,0.7,0.85,0.7749999999999999,0.05,1.0
1000,2020-05-02,1.0,1.05,0.7,0.85,0.7749999999999999,0.05,1.0
1000,2020-05-03,1.0,1.05,0.7,0.85,0.7749999999999999,0.05,1.0
1000,2020-05-04,1.0,1.05,0.7,0.85,0.7749999999999999,0.05,1.0
1000,2020-05-05,1.0,1.05,0.7,0.85,0.7749999999999999,0.05,1.0
1000,2020-05-06,1.0,1.05,0.7,0.85,0.7749999999999999,0.05,1.0
1000,2020-05-07,1.0,1.05,0.7,0.85,0.7749999999999999,0.05,1.0
1000,2020-05-08,1.0,1.05,0.7,0.85,0.7749999999999999,0.05,1.0
1000,2020-05-09,1.0,1.05,0.7,0.85,0.7749999999999999,0.05,1.0
1000,2020-05-10,1.0,1.05,0.7,0.85,0.7749999999999999,0.05,1.0
1000,2020-05-11,1.0,1.05,0.7,0.85,0.7749999999999999,0.05,1.0
1000,2020-05-12,1.0,1.05,0.7,0.85,0.7749999999999999,0.05,1.0
1000,2020-05-13,1.0,1.05,0.7,0.85,0.7749999999999999,0.05,1.0
1000,2020-05-14,1.0,1.05,0.7,0.85,0.7749999999999999,0.05,1.0
1000,2020-05-15,1.0,1.05,0.7,0.85,0.7749999999999999,0.05,1.0
1000,2020-05-16,1.0,1.05,0.7,0.85,0.7749999999999999,0.05,1.0
1000,2020-05-17,1.0,1.05,0.7,0.85,0.7749999999999999,0.05,1.0
1000,2020-05-18,1.0,1.05,0.7,0.85,0.7749999999999999,0.05,1.0
1000,2020-05-19,1.0,1.05,0.7,0.85,0.7749999999999999,0.05,1.0
1000,2020-05-20,1.0,1.05,0.7,0.85,0.7749999999999999,0.05,1.0
1000,2020-05-21,1.0,1.05,0.7,0.85,0.7749999999999999,0.05,1.0
1000,2020-05-22,1.0,1.05,0.7,0.85,0.7749999999999999,0.05,1.0
1000,2020-05-23,1.0,1.05,0.7,0.85,0.7749999999999999,0.05,1.0
1000,2020-05-24,1.0,1.05,0.7,0.85,0.7749999999999999,0.05,1.0
1000,2020-05-25,1.0,1.05,0.7,0.85,0.7749999999999999,0.05,1.0
1000,2020-05-26,1.0,1.05,0.7,0.85,0.7749999999999999,0.05,1.0
1000,2020-05-27,1.0,1.05,0.7,0.85,0.7749999999999999,0.05,1.0
1000,2020-05-28,1.0,1.05,0.7,0.85,0.7749999999999999,0.05,1.0
1000,2020-05-29,1.0,1.05,0.7,0.85,0.7749999999999999,0.05,1.0
1000,2020-05-30,1.0,1.05,0.7,0.85,0.7749999999999999,0.05,1.0
1000,2020-05-31,1.0,1.05,0.7,0.85,0.7749999999999999,0.05,1.0
1000,2020-06-01,1.0,1.05,0.7,0.85,0.7749999999999999,0.05,1.0
1000,2020-06-02,1.0,1.05,0.7,0.85,0.7749999999999999,0.05,1.0
1000,2020-06-03,1.0,1.05,0.7,0.85,0.7749999999999999,0.05,1.0
1000,2020-06-04,1.0,1.05,0.7,0.85,0.7749999999999999,0.05,1.0
1000,2020-06-05,1.0,1.05,0.7,0.85,0.7749999999999999,0.05,1.0
1000,2020-06-06,1.0,1.05,0.7,0.85,0.7749999999999999,0.05,1.0
