#adm1+pcode,#adm2+pcode,#date,#affected+infected+confirmed+total,#affected+infected+dead+total,created_at,created_by
CD41,CD4101,2020-06-29,0.3561075447688524,0.009224276991327262,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4107,2020-06-30,0.31663404020311237,0.00820179222434724,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4102,2020-06-30,0.2743496142893319,0.0071064959780934795,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4108,2020-06-30,0.391405376725935,0.010138599037990992,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4104,2020-06-30,0.14429487772495464,0.003737679642335675,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4109,2020-06-30,0.2402490534187791,0.006223186922583943,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4103,2020-06-30,0.1559076518147251,0.004038486088071841,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4105,2020-06-30,0.1210518410543094,0.0031356137453360067,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4101,2020-06-30,0.3561075447688524,0.009224276991327262,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4107,2020-07-01,0.31663404020311237,0.00820179222434724,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4102,2020-07-01,0.2743496142893319,0.0071064959780934795,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4108,2020-07-01,0.391405376725935,0.010138599037990992,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4104,2020-07-01,0.14429487772495464,0.003737679642335675,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4109,2020-07-01,0.2402490534187791,0.006223186922583943,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4103,2020-07-01,0.1559076518147251,0.004038486088071841,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4105,2020-07-01,0.1210518410543094,0.0031356137453360067,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4101,2020-07-01,0.3561075447688524,0.009224276991327262,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4107,2020-07-02,0.31663404020311237,0.00820179222434724,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4102,2020-07-02,0.2743496142893319,0.0071064959780934795,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4108,2020-07-02,0.391405376725935,0.010138599037990992,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4104,2020-07-02,0.14429487772495464,0.003737679642335675,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4109,2020-07-02,0.2402490534187791,0.006223186922583943,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4103,2020-07-02,0.1559076518147251,0.004038486088071841,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4105,2020-07-02,0.1210518410543094,0.0031356137453360067,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4101,2020-07-02,0.3561075447688524,0.009224276991327262,2020-12-11 10:12:10.548655,tinkavalentijn
