admin2,date,elderly_shielding,home,mobility_reduction,other_locations,r0_reduction,school,work
G01Q03,2020-08-14,1.0,1.0,0.7,1.0,0.8,1.0,1.0
G01Q03,2020-08-15,1.0,1.0,0.7,1.0,0.8,1.0,1.0
G01Q03,2020-08-16,1.0,1.0,0.7,1.0,0.8,1.0,1.0
G01Q03,2020-08-17,1.0,1.0,0.7,1.0,0.8,1.0,1.0
G01Q03,2020-08-18,1.0,1.0,0.7,1.0,0.8,1.0,1.0
G01Q03,2020-08-19,1.0,1.0,0.7,1.0,0.8,1.0,1.0
G01Q03,2020-08-20,1.0,1.0,0.7,1.0,0.8,1.0,1.0
G01Q03,2020-08-21,1.0,1.0,0.7,1.0,0.8,1.0,1.0
G01Q03,2020-08-22,1.0,1.0,0.7,1.0,0.8,1.0,1.0
G01Q03,2020-08-23,1.0,1.0,0.7,1.0,0.8,1.0,1.0
G01Q03,2020-08-24,1.0,1.0,0.7,1.0,0.8,1.0,1.0
G01Q03,2020-08-25,1.0,1.0,0.7,1.0,0.8,1.0,1.0
G01Q03,2020-08-26,1.0,1.0,0.7,1.0,0.8,1.0,1.0
G01Q03,2020-08-27,1.0,1.0,0.7,1.0,0.8,1.0,1.0
G01Q03,2020-08-28,1.0,1.0,0.7,1.0,0.8,1.0,1.0
G01Q03,2020-08-29,1.0,1.0,0.7,1.0,0.8,1.0,1.0
G01Q03,2020-08-30,1.0,1.0,0.7,1.0,0.8,1.0,1.0
G01Q03,2020-08-31,1.0,1.0,0.7,1.0,0.8,1.0,1.0
G01Q03,2020-09-01,1.0,1.0,0.7,1.0,0.8,1.0,1.0
G01Q03,2020-09-02,1.0,1.0,0.7,1.0,0.8,1.0,1.0
G01Q03,2020-09-03,1.0,1.0,0.7,1.0,0.8,1.0,1.0
G01Q03,2020-09-04,1.0,1.0,0.7,1.0,0.8,1.0,1.0
G01Q03,2020-09-05,1.0,1.0,0.7,1.0,0.8,1.0,1.0
